SID	Sequence
380	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
381	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
382	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
383	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
384	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
385	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
386	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
387	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
388	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
389	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(g)>, <(j)>
390	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
391	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
392	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
393	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(h)>, <(j)>
394	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
395	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
396	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
397	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(g)>, <(j)>
398	<(a)>, <(b)>, <(e)>, <(h)>, <(j)>
399	<(a)>, <(b)>, <(d)>, <(e)>, <(h)>, <(g)>, <(j)>
400	<(a)>, <(b)>, <(d)>, <(e)>, <(g)>, <(j)>
401	<(a)>, <(b)>, <(c, e)>, <(g)>, <(h)>, <(j)>
402	<(a)>, <(b)>, <(c, e)>, <(g)>, <(j)>
403	<(a)>, <(b)>, <(c, e)>, <(i)>, <(g)>, <(j)>
404	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
405	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
406	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(h)>, <(j)>
407	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
408	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
409	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
410	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
411	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
412	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
413	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
414	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
415	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
416	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
417	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
418	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
419	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
420	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
421	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
422	<(a)>, <(b)>, <(c, i)>, <(f)>, <(e)>, <(h)>, <(j)>
423	<(a)>, <(b)>, <(c, e)>, <(g)>, <(j)>
424	<(a)>, <(f)>, <(e)>, <(g)>, <(i)>, <(j)>
425	<(a)>, <(f)>, <(e)>, <(g)>, <(j)>
426	<(a)>, <(b)>, <(e)>, <(g)>, <(j)>
427	<(a)>, <(b)>, <(e)>, <(i)>, <(h)>, <(j)>
428	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
429	<(a)>, <(b)>, <(e)>, <(g)>, <(j)>
430	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
431	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
432	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
433	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
434	<(a)>, <(b)>, <(c, e)>, <(h)>, <(g)>, <(j)>
435	<(a)>, <(f)>, <(e)>, <(g)>, <(j)>
436	<(a)>, <(f)>, <(e)>, <(b)>, <(c, g)>, <(j)>
437	<(a)>, <(b)>, <(c, e)>, <(i)>, <(j)>
438	<(a)>, <(b)>, <(c, e)>, <(h)>, <(i)>, <(j)>
439	<(a)>, <(f)>, <(e)>, <(g)>, <(i)>, <(j)>
440	<(a)>, <(b)>, <(d)>, <(e)>, <(h)>, <(j)>
441	<(a)>, <(f)>, <(e)>, <(g)>, <(j)>
442	<(a)>, <(b)>, <(c, e)>, <(i)>, <(j)>
443	<(a)>, <(f)>, <(e)>, <(g)>, <(i)>, <(j)>
444	<(a)>, <(b)>, <(c, e)>, <(g)>, <(j)>
445	<(a)>, <(b)>, <(d)>, <(e)>, <(g)>, <(j)>
446	<(a)>, <(f)>, <(h)>, <(b)>, <(c, f)>, <(e)>, <(h)>, <(j)>
447	<(a)>, <(b)>, <(e)>, <(g)>, <(j)>
448	<(a)>, <(f)>, <(e)>, <(i)>, <(h)>, <(j)>
449	<(a)>, <(b)>, <(e)>, <(g)>, <(j)>
450	<(a)>, <(f)>, <(e)>, <(g)>, <(j)>
451	<(a)>, <(f)>, <(e)>, <(h)>, <(g)>, <(j)>
452	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
453	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
454	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
455	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
456	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
457	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
